A,B,C,D,E
108300074|C K Communications Ltd|07420567|319454|176054|1|100100898541|osgb1000027254533|3|5800657|1|15.3|Unit 8 Parklands Industrial Estate|East Moors Road|Splott, Cardiff|South Glamorgan|CF24 5JP|Caerdydd - Cardiff|02920488311|www.ckcomms.co.uk||||118 Information|2024-12-01,,,
118133542|Panasonic|07420567|320973|181739|1|200001860214|osgb1000027295410|14|5803103|3|77.3|Pentwyn Industrial Estate, Wharfdale Road|Pentwyn|Cardiff|South Glamorgan|CF23 7XB|Caerdydd - Cardiff|02920540011|www.panasonic.co.uk||||118 Information|2024-12-01,,,
64320860|Aardee Security Services|07420567|312843|183673|1|100100765921|osgb1000026988615|5|47405553|1|12.7|106|Ty Rhiw|Ty-Rhiw, Taff's Well|Mid Glamorgan|CF15 7RY|Rhondda Cynon Taf - Rhondda Cynon Taf|02920810315|||||118 Information|2024-12-01,,,
95742586|Eclipse Security|07420567|312133.9|173339.2|1|64042029|osgb1000026980448|5|41500424|1|17.9|12|Greave Close|Wenvoe|South Glamorgan|CF5 6BU|Bro Morgannwg - the Vale of Glamorgan|02920670111|||||118 Information|2024-12-01,,,,
85536632|Ambassador Fire & Security Ltd|07420567|312171.8|183514.6|1|10094099646|osgb5000005247230685|1|47403795|1|55.5|Ambassador House|Cardiff Road|Taff's Well|Mid Glamorgan|CF15 7PL|Rhondda Cynon Taf - Rhondda Cynon Taf|01443841784|||||118 Information|2024-12-01,,,,
131502887|S P J Security Systems|07420567|313124|174860|1|100100092711|osgb1000027005030|3|5803534|1|14|21|Lauriston Park|Caerau, Cardiff|South Glamorgan|CF5 5QB|Caerdydd - Cardiff|07495154493|||||118 Information|2024-12-01,,,
131510132|Riverside Sound|07420567|317811|176060|1|100100077205|osgb1000027175448|2|5800740|1|21.9|35|Fitzhamon Embankment|Riverside, Cardiff|South Glamorgan|CF11 6AN|Caerdydd - Cardiff|02920198516|||||118 Information|2024-12-01,,,
133149032|Mweigh|07420572|319572|177411|1|100100060383|osgb1000027257562|4|5801484|1|22.6|18|Oakfield Street|Roath, Cardiff|South Glamorgan|CF24 3RD|Caerdydd - Cardiff|02920195341|||||118 Information|2024-12-01,,,
151342700|Innovative Fire & Security|07420567|322976|179052|1|10013746416|osgb1000002706041438|2|5803905|1|56.3|Unit R1 Capital Point Capital Business Park|Parkway|Trowbridge, Cardiff|South Glamorgan|CF3 2PU|Caerdydd - Cardiff|02920797772|||||118 Information|2024-12-01,,,
64323464|Catertech Services Ltd|07420572|317009|173566|1|64048362|osgb1000027168006|8|41502524|1|33.5|Unit D1|West Point Industrial Estate|Penarth|South Glamorgan|CF11 8JQ|Bro Morgannwg - the Vale of Glamorgan|01443404142|www.catertech.com|Catertech|||118 Information|2024-12-01,,,,
125718113|A Team Security Ltd|07420567|319566|177049|1|100101054121|osgb1000027258200|3|5802537|1|12.6|Clifton House 2-6|Four Elms Road|Adamsdown, Cardiff|South Glamorgan|CF24 1LE|Caerdydd - Cardiff|02920491444|||||118 Information|2024-12-01,,,
156926153|Envoy Taxi Software|07420567|315994|176634|1|10002526309|osgb1000027074893|5|5800521|1|17.7|Canton House 435-451|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1JH|Caerdydd - Cardiff|02921660607|www.taxidispatchsystems.co.uk||||118 Information|2024-12-01,,,
64322531|Elmatic Cardiff Ltd|07420567|322368.4|178917.7|1||osgb1000027348556|7|5803775|3|28.9||Wentloog Road|Rumney, Cardiff|South Glamorgan|CF3 1XH|Caerdydd - Cardiff|02920778727|||||118 Information|2024-12-01,,,
125652227|Waverley Fire & Security|07420567|317132|174100|1|100100891640|osgb1000027170094|7|5802992|1|61.7|13|Stadium Close|Leckwith, Cardiff|South Glamorgan|CF11 8TS|Caerdydd - Cardiff|08454740174|||||118 Information|2024-12-01,,,
125774877|A D C Fire Systems Ltd|07420567|322475|178548|1|10008905155|osgb1000002487439709|5|5803524|1|47.5|Unit 5 Mellyn Mair Business Centre|Wentloog Avenue|Trowbridge, Cardiff|South Glamorgan|CF3 2EX|Caerdydd - Cardiff|02920839940|www.adcfiresystems.com||||118 Information|2024-12-01,,,
168651277|Pro Software Company|07420567|318863|174967|1|100100025307|osgb1000027214692|3|5800033|1|21.8|7|Alice Street|Butetown, Cardiff|South Glamorgan|CF10 5LB|Caerdydd - Cardiff|07704788712|||||118 Information|2024-12-01,,,
64315975|Bateman Brothers|07420572|316875|175157|1|100100891732|osgb1000027120037|3|5800128|1|28.9|3|Bessemer Road|Leckwith, Cardiff|South Glamorgan|CF11 8BA|Caerdydd - Cardiff|02920382083|||||118 Information|2024-12-01,,,
158338477|Twenty4 Fire & Security Ltd|07420567|320962.7|178246.5|1|10090718631|osgb1000027291399|9|5804600|1|96.6|376|Newport Road|Penylan, Cardiff|South Glamorgan|CF23 9AE|Caerdydd - Cardiff|02921252424|www.twenty-4.co.uk||||118 Information|2024-12-01,,,
159599056|Bingo Media|07420568|318106|174974|1|100100099791|osgb1000027215790|6|5800001|1|11.8|5|Aber Street|Grangetown, Cardiff|South Glamorgan|CF11 7AG|Caerdydd - Cardiff|02920495957|||||118 Information|2024-12-01,,,
64317341|Delivering Vision Services|07420567|320090|175566|1|10002526345|osgb1000042997943|3|5803930|1|61.5|Unit 3 Neptune Point|Vanguard Way|Splott, Cardiff|South Glamorgan|CF24 5PG|Caerdydd - Cardiff|02920455512|||||118 Information|2024-12-01,,,
162681080|J D S Fire & Security Solutions Ltd|07420567|322604|178527|1|10002521353|osgb1000027348370|6|5803524|1|15|Unit 4 Lamby Industrial Park|Wentloog Avenue|Trowbridge, Cardiff|South Glamorgan|CF3 2EX|Caerdydd - Cardiff|02920090193|||||118 Information|2024-12-01,,,
64315856|Knight|07420567|320858.6|176432.8|1|10023545563|osgb1000027287154|6|5801764|1|33.5|84, Pengam Airport Industrial Estate, Seawall Road|Splott|Cardiff|South Glamorgan|CF24 5TH|Caerdydd - Cardiff|02920488129|||||118 Information|2024-12-01,,
64324354|Diamond Alarm Systems|07420567|318856|179621|1|100100042925|osgb1000027229250|3|5800713|1|21.9|26|Farm Drive|Cyncoed, Cardiff|South Glamorgan|CF23 6HQ|Caerdydd - Cardiff|02920451789|||||118 Information|2024-12-01,,,
54680629|H A A C Ltd|07420567|314552|176979|1|10002525832|osgb1000027032889|6|5801875|1|46.9|Unit 2 to 3 Ely Brewery Workshops|Station Terrace|Fairwater, Cardiff|South Glamorgan|CF5 4AR|Caerdydd - Cardiff|02920566848|www.haacltd.co.uk||||118 Information|2024-12-01,,,
54624258|Top Table Catering Hire|02070098|316693|173670|1|100100891655|osgb1000027118603|6|41502483|2|27|Unit 1 Llandough Trading Estate|Penarth Road|Cardiff|South Glamorgan|CF11 8RR|Bro Morgannwg - the Vale of Glamorgan|02920232408|www.toptablecateringhire.com||||118 Information|2024-12-01,,,,
95737671|Hire Station|02600099|320635|178232|1|200002933665|osgb1000027291418|4|5801478|1|35.4|15|Norwich Road|Penylan, Cardiff|South Glamorgan|CF23 9AB|Caerdydd - Cardiff|02920493679|brandonhirestation.com/|Hire Station|||118 Information|2024-12-01,,,
54608400|Cardiff Scaffolding Contracts Ltd|02600099|318139.3|175320.9|1|10003567860|osgb1000027217691|5|5800554|1|25.4|Unit 1 Stadium Buildings|Curran Embankment|Butetown, Cardiff|South Glamorgan|CF10 5DX|Caerdydd - Cardiff|02920566922|wordpress.cardiffscaffolding.com/||||118 Information|2024-12-01,,,
54617351|Linmar Scaffolding Ltd|02600099|315912.2|175182.2|1|64104505|osgb1000027074504|9|41500556|1|11.8|Unit 3 Leckwith Workshops|Leckwith Road|Leckwith|South Glamorgan|CF11 8AU|Bro Morgannwg - the Vale of Glamorgan|02920460999|www.linmarscaffolding.com||||118 Information|2024-12-01,,,,
133157575|Elior|02070098|322003|182300.6|1||osgb1000002715008342|5|5800390|2|86.4|Babcock Fire Services, Cardiff Gate Training and Development Centre, Church Road|Old St Mellons|Cardiff|South Glamorgan|CF3 6YA|Caerdydd - Cardiff|01443232956|www.elior.co.uk||||118 Information|2024-12-01,,
118137063|GAP Group Ltd|02600099|320728|175786|1|10002523996|osgb1000002067951246|3|5803812|1|28.9|Unit 6 Pacific Business Park|Pacific Road|Splott, Cardiff|South Glamorgan|CF24 5HJ|Caerdydd - Cardiff|02920472088|www.gap-group.co.uk|GAP Group|||118 Information|2024-12-01,,,
166077793|Miles Hire|02600099|320275|175873|1|10002520873|osgb1000027284654|4|5801644|2|92.2|Unit 112|Portmanmoor Road Industrial Estate|Cardiff|South Glamorgan|CF24 5HB|Caerdydd - Cardiff|02922401283|www.mileshire.co.uk||||118 Information|2024-12-01,,,,
165160328|Sunbelt Rentals Ltd|02600099|319279|176143|1|200002931975|osgb1000027254788|4|5803193|2|23|Tyndall Fields|East Bay Close|Cardiff|South Glamorgan|CF10 4BA|Caerdydd - Cardiff|02920461462|www.sunbeltrentals.co.uk/|Sunbelt Rentals|||118 Information|2024-12-01,,,,
64391785|Nationwide Platforms|02600099|319734|175207|1|10002506761|osgb1000002067881354|4|5800657|1|327.3|Castle Works|East Moors Road|Splott, Cardiff|South Glamorgan|CF24 5NN|Caerdydd - Cardiff|08456001494|www.nationwideplatforms.co.uk|Nationwide Platforms|||118 Information|2024-12-01,,,
171768407|Delivision|02070098|323940|179463|1|10002526313|osgb1000027376463|9|5802098|1|1212.4||Wentloog Road|Rumney, Cardiff|South Glamorgan|CF3 2ER|Caerdydd - Cardiff|07920705084|||||118 Information|2024-12-01,,,
125625919|Network Waste|02600099|319207|178089|1|100100897899|osgb1000027263074|3|5805149|3|17.1|The Business Centre|61 Wellfield Road|Cardiff|South Glamorgan|CF24 3PB|Caerdydd - Cardiff|08454508202|www.networkwaste.co.uk|Network Waste Solutions|||118 Information|2024-12-01,,,,
181516335|HSS Hire Service Group Ltd|02600099|320599|178114|1|200002933727|osgb5000005224887211|2|5800472|1|29.2|153-155|Colchester Avenue|Penylan, Cardiff|South Glamorgan|CF23 9AN|Caerdydd - Cardiff|02920454543|www.hss.com/hire|HSS Hire|||118 Information|2024-12-01,,,
64340142|Ainscough Crane Hire Ltd|02600099|320546.6|178434.5|1|10090718590|osgb5000005337920579|1|5801085|1|18.2|Cmsc|Ipswich Road|Penylan, Cardiff|South Glamorgan|CF23 9AQ|Caerdydd - Cardiff|02920495455|www.ainscough.co.uk|Ainscough Crane Hire Ltd|||118 Information|2024-12-01,,,
124778880|Phoenix Hire & Sales Ltd|02600099|319770.5|175745.9|1|10095988961|osgb1000027251043|5|5803527|1|41.2|Unit 15a Quay Point|Collivaud Place|Splott, Cardiff|South Glamorgan|CF24 5HF|Caerdydd - Cardiff|02922408000|||||118 Information|2024-12-01,,,
124779818|Dragon Access|02600099|321067.7|178318.2|1|100100895549|osgb1000027318507|9|5802924|1|21.1|Connies House|Rhymney River Bridge Road|Penylan, Cardiff|South Glamorgan|CF23 9AF|Caerdydd - Cardiff|03337729645|www.dragon-access.co.uk||||118 Information|2024-12-01,,,
165160460|Sunbelt Rentals Ltd|02600099|320810|177667|1||osgb1000027287857|8|5801912|3|81.3|St Catherines Park|Pengam Road|Splott, Cardiff|South Glamorgan|CF24 2RZ|Caerdydd - Cardiff|02922679583|www.sunbeltrentals.co.uk/|Sunbelt Rentals|||118 Information|2024-12-01,,,
126961966|Best at Hire|02600099|318225|177651|1|100100031387|osgb1000027221642|5|5800335|3|12.4|Woodville Road||Cardiff|South Glamorgan|CF24 4FX|Caerdydd - Cardiff|02922001220|www.bestathire.co.uk|Best At Hire|||118 Information|2024-12-01,,,,
125731051|Passion & Pride Catering|02070098|321028|182213|1|10008906681|osgb1000002715015956|2|5803363|3|21|71|Rowsby Court|Pontprennau, Cardiff|South Glamorgan|CF23 8FG|Caerdydd - Cardiff|07495512631|||||118 Information|2024-12-01,,,
145414712|Pop Up Bar Hire|02070098|317521|176009|1|100100891159|osgb1000027175683|4|5801998|1|16.5|80|Tudor Street|Riverside, Cardiff|South Glamorgan|CF11 6AL|Caerdydd - Cardiff|07703578610|||||118 Information|2024-12-01,,,
54598257|HSS Hire Service Group Ltd|02600099|316894.7|173867.9|1|10093729127|osgb5000005191197119|1|5801556|1|69.6|Riverside Park, Penarth Road|Leckwith|Cardiff|South Glamorgan|CF11 8TT|Caerdydd - Cardiff|02920501896|www.hss.com/hire|HSS Hire|||118 Information|2024-12-01,,,
75330061|A & T|02600099|318461|175233|1|200002932034|osgb1000027217594|3|5800555|1|24.2||Curran Road|Butetown, Cardiff|South Glamorgan|CF10 5DF|Caerdydd - Cardiff|02920373744|||||118 Information|2024-12-01,,,
125773202|Mad Hatters Catering Ltd|02070098|323625|181328|1|10002517461|osgb1000027380480|3|5803746|1|20.4|Unit 1 Willowbrook Workshop Units|Llandogo Road|Trowbridge, Cardiff|South Glamorgan|CF3 0EF|Caerdydd - Cardiff|02920400003|||||118 Information|2024-12-01,,,
54613034|Atlantic Mini Skips|02600099|318502|174451|1|100100025748|osgb1000027216173|8|5800404|1|15.5|47|Clarence Embankment|Butetown, Cardiff|South Glamorgan|CF10 5GR|Caerdydd - Cardiff|02920480247|||||118 Information|2024-12-01,,,
54590052|Speedy Hire Plc|02600099|320515|175712|1|10002520905|osgb1000027284665|8|5801644|1|41.8|Unit 47 Portmanmoor Road Industrial Estate|Portmanmoor Road|Splott, Cardiff|South Glamorgan|CF24 5HB|Caerdydd - Cardiff|02920761010|www.speedyservices.com|Speedy|||118 Information|2024-12-01,,,
180489322|Black Tie Bartenders|02070098|317138|182367|1|100100048955|osgb1000027191812|5|5801224|1|16.6|9|Llanon Road|Llanishen, Cardiff|South Glamorgan|CF14 5AF|Caerdydd - Cardiff|07958271991|||||118 Information|2024-12-01,,,
169454203|Speedy Hire Plc|02600099|312022|174905|1|10003563064|osgb1000002067950904|14|5803798|3|65.1|499|Cowbridge Road West|Caerau, Cardiff|South Glamorgan|CF5 5TG|Caerdydd - Cardiff|03458509414|www.speedyservices.com|Speedy|||118 Information|2024-12-01,,,
131505849|Cleverchefs|02070098|320588|175964|1|10008905607|osgb1000002487489346|3|5803812|1|27.6|Unit 13 Pacific Business Park|Pacific Road|Splott, Cardiff|South Glamorgan|CF24 5HJ|Caerdydd - Cardiff|02920464511|||||118 Information|2024-12-01,,,
54590222|A M L Scaffolding|02600099|322707.3|178813.9|1|10008905795|osgb1000002706038356|3|5803905|2|146|Unit H7 Capital Business Park|Parkway|Trowbridge, Cardiff|South Glamorgan|CF3 2PU|Caerdydd - Cardiff|02920779803|||||118 Information|2024-12-01,,,
54594176|Mabey Hire Services|02600099|317306.3|174623.2|1|10002527825|osgb1000027169262|11|5801556|1|76.9|Rear of Gulf Works 289|Penarth Road|Leckwith, Cardiff|South Glamorgan|CF11 8TT|Caerdydd - Cardiff|02920396621|www.mabeyhire.co.uk|Mabey Hire Services|||118 Information|2024-12-01,,,
161927802|Two Fat Cooks|02070098|317486.8|176923|1|10013081436|osgb1000000277142975|15|5802963|1|88.7|Sophia Gardens, Sophia Close|Pontcanna|Cardiff|South Glamorgan|CF11 9SZ|Caerdydd - Cardiff|07496949659|www.twofatcooks.co.uk||||118 Information|2024-12-01,,,
159612915|Anything for Hire|02600099|319853|175484|1|10095459477|osgb1000002067897169|4|5801443|1|61.7|Unit 2 Regents Court|Nettlefold Road|Splott, Cardiff|South Glamorgan|CF24 5JQ|Caerdydd - Cardiff|08004101515|www.anythingforhire.com||||118 Information|2024-12-01,,,
54620192|Just Scaffolding|02600099|316364|175153|1|10090720982|osgb1000027120308|5|5802137|1|90.7|16d|Whittle Road|Leckwith, Cardiff|South Glamorgan|CF11 8AT|Caerdydd - Cardiff|07974366382|||||118 Information|2024-12-01,,,
125627162|Apple Scaffolding|02600099|315410.1|177831.2|1|100100915183|osgb1000027078205|5|5800681|1|13.5|4-6|Ely Road|Llandaff, Cardiff|South Glamorgan|CF5 2JG|Caerdydd - Cardiff|07951049951|||||118 Information|2024-12-01,,,
162688128|Inferno Catering Wales Ltd|02070098|318893|177898|1|100100058404|osgb1000027219976|3|5800620|2|11.3|Donald Street||Cardiff|South Glamorgan|CF24 4TJ|Caerdydd - Cardiff|02922745434|||||118 Information|2024-12-01,,,,
181516336|HSS Hire Service Group Ltd|02600099|322352|178676|1|10023545809|osgb1000027348639|8|5801157|3|25.8|Lamby Way|Rumney|Cardiff|South Glamorgan|CF3 2EQ|Caerdydd - Cardiff|02920442515|www.hss.com/hire|HSS Hire|||118 Information|2024-12-01,,,,
54597786|Cole Contractors Cardiff|02600099|316500|175012.4|1|200001854865|osgb1000027120223|8|5802137|1|57.6|19|Whittle Road|Leckwith, Cardiff|South Glamorgan|CF11 8AT|Caerdydd - Cardiff|02920387406|www.colecontractors.co.uk||||118 Information|2024-12-01,,,
104048886|Smiths of Gloucester Ltd|02600099|316705|173685|1|64010676|osgb1000002487446355|3|41502483|1|37.8|Tollgate House|Llandough Trading Estate|Llandough, Penarth|South Glamorgan|CF11 8RR|Bro Morgannwg - the Vale of Glamorgan|02920707707|||||118 Information|2024-12-01,,,
85599366|Hire Station|02600099|318225|177651|1|100100031387|osgb1000027221642|5|5802177|1|17.8|53|Woodville Road|Cathays, Cardiff|South Glamorgan|CF24 4FX|Caerdydd - Cardiff|02920383646|brandonhirestation.com/|Hire Station|||118 Information|2024-12-01,,,
129882179|Straight Edge Scaffolding Ltd|02600099|319161|176966|1|200002934123|osgb1000027253449|4|5803654|3|15.8|12-14|City Road|Cardiff|South Glamorgan|CF24 3DL|Caerdydd - Cardiff|02921155485|www.straightedgescaffolding.com||||118 Information|2024-12-01,,,,
54594614|Cambrian Plant Hire Ltd|02600099|322818|179104|1||osgb1000027349919|9|5802098|3|37.3|Skew Bridge Yard, Wentloog Road|Rumney|Cardiff|South Glamorgan|CF3 1EY|Caerdydd - Cardiff|02920797181|www.cambrianplanthire.com||||118 Information|2024-12-01,,,
166074725|C T Heaven Catering|02070098|317818|175374|1|100100103908|osgb1000027173120|6|5804621|1|21.8|84|Penarth Road|Grangetown, Cardiff|South Glamorgan|CF11 6NH|Caerdydd - Cardiff|07498088368|||||118 Information|2024-12-01,,,
54970932|A T S B M Group|02130207|318407|177873|1|10002515638|osgb1000027222368|5|5802177|1|12.8|134|Woodville Road|Cathays, Cardiff|South Glamorgan|CF24 4EE|Caerdydd - Cardiff|02920377455|www.atsbm-group.com||||118 Information|2024-12-01,,,
123155829|Cardiff Ready Mix|07420562|312848|182505|1|10002525998|osgb1000026988268|3|5803220|1|99.5|Ynys Fach Yard|Heol-yr-Ynys|Tongwynlais, Cardiff|South Glamorgan|CF15 7NT|Caerdydd - Cardiff|02920810444|www.cardiffreadymix.co.uk||||118 Information|2024-12-01,,,
76247231|Elphinston Performance Ltd|05280345|319700|177267|1|100100896230|osgb1000027257908|4|5804599|1|24.2|The Coach House 128|Newport Road|Roath, Cardiff|South Glamorgan|CF24 1DH|Caerdydd - Cardiff|02920312561|www.elphinstonperformance.com||||118 Information|2024-12-01,,,
64298282|Ocean Business Supplies Ltd|07420558|320910|174901|1|10003567553|osgb1000042930045|4|5800750|1|89.1|Unit C4 South Point|Foreshore Road|Butetown, Cardiff|South Glamorgan|CF10 4SP|Caerdydd - Cardiff|02920795400|www.oceanbusinesssupplies.com||||118 Information|2024-12-01,,,
64298348|Park & Holmes Industrial Supplies Ltd|07420558|315450.5|176567.9|1|10023543361|osgb1000027076518|4|5802607|1|23.4|2-3|Hedel Road|Cardiff|South Glamorgan|CF11 8DJ|Caerdydd - Cardiff|02920220057|||||118 Information|2024-12-01,,,,
64291325|Gremer Chemicals UK Ltd|07420558|320858.6|176432.8|1|200001097127|osgb1000027287154|6|5801764|1|33.5||Seawall Road|Splott, Cardiff|South Glamorgan|CF24 5TH|Caerdydd - Cardiff|02920465564|||||118 Information|2024-12-01,,,
96513769|B B M Control Systems Ltd|07420564|320894.5|175234.6|1|10008905282|osgb1000002487441489|5|5804255|1|17.8|Unit P3 South Point|Clos Marion|Butetown, Cardiff|South Glamorgan|CF10 4LQ|Caerdydd - Cardiff|02920451446|||||118 Information|2024-12-01,,,
64323079|A K G UK Ltd|07420563|311795.1|174561.9|1|64107995|osgb1000026958394|7|41502146|1|61.7|Suite 2 St Hilary Court|Copthorne Way|Culverhouse Cross|South Glamorgan|CF5 6ES|Bro Morgannwg - the Vale of Glamorgan|01443673355|www.akg-uk.co.uk||||118 Information|2024-12-01,,,,
64291012|Fridge Spares Wholesale|07420563|322652.9|178608.8|1||osgb1000027348385|10|5803356|2|30|Refrigeration Parts Wholesale Ltd Unit 10-11 Ringside Business Centre|Heol y Rhosog|Trowbridge, Cardiff|South Glamorgan|CF3 2EW|Caerdydd - Cardiff|02920794573|www.fsw.uk.com|Refrigeration Parts Wholesale Ltd|||118 Information|2024-12-01,,,
169650814|G A Control Panels|07420564|318849|180607|1|100100042789|osgb1000027231717|3|5800633|1|18.2|39|Duffryn Avenue|Cyncoed, Cardiff|South Glamorgan|CF23 6LE|Caerdydd - Cardiff|07815907688|||||118 Information|2024-12-01,,,
64291939|Breedon Tongwynlais Concrete Plant|07420562|313656|182894|1||osgb5000005152139172|1|5802633|3|54.7|Forest Road|Tongwynlais|Cardiff|South Glamorgan|CF15 7YZ|Caerdydd - Cardiff|02920486036|www.breedongroup.com|Breedon Aggregates|||118 Information|2024-12-01,,,,
54966814|The Old Joinery|02130206|317967|181678|1|100100893905|osgb1000027187879|4|5800731|1|19.7|173|Fidlas Road|Llanishen, Cardiff|South Glamorgan|CF14 5LZ|Caerdydd - Cardiff|02920759890|www.theoldjoinery.co.uk||||118 Information|2024-12-01,,,
126963622|C & L Ready Mix|07420562|312848|182505|1|10002525998|osgb1000026988268|3|5803220|1|99.5|Ynys Fach Yard|Heol-yr-Ynys|Tongwynlais, Cardiff|South Glamorgan|CF15 7NT|Caerdydd - Cardiff|07528755643|||||118 Information|2024-12-01,,,
179359728|Bright Refrigeration & Air Condition Services|07420563|318488|177052|1|100100890472|osgb1000027224089|4|5801430|3|18.3|4th Floor Museum Place City Centre||Cardiff|South Glamorgan|CF10 3BH|Caerdydd - Cardiff|02921690008|||||118 Information|2024-12-01,,,,
131500816|Verve T G|05280345|320102|176588|1|100100064646|osgb1000027285561|4|5801335|1|13.9|34|Marion Street|Splott, Cardiff|South Glamorgan|CF24 2DJ|Caerdydd - Cardiff|07449955752|||||118 Information|2024-12-01,,,
64220270|Tarmac|07420562|320751.1|174851.8|1||osgb1000000277713862|12|5802058|3|31.6||Viking Place|Cardiff|South Glamorgan|CF10 4TR|Caerdydd - Cardiff|02920465969|www.tarmac.com|Tarmac|||118 Information|2024-12-01,,,,
152783135|Ben Gooding Sports Massage|05280345|319186|177845|1|10008905010|osgb1000027257224|5|5800513|1|13.8|160-162, Cottrell Road|Roath|Cardiff|South Glamorgan|CF24 3EX|Caerdydd - Cardiff|07946100945|www.bengoodingsportsmassage.co.uk||||118 Information|2024-12-01,,,
85646325|Tarmac|07420562|312465.4|182947.6|1|10002506585|osgb1000026988224|4|5803831|1|22.6|Lafarge Aggregates Ltd|Viaduct Road|Gwaelod-y-Garth, Cardiff|South Glamorgan|CF15 9JN|Caerdydd - Cardiff|02920810526|www.tarmac.com|Tarmac|||118 Information|2024-12-01,,,
64289765|Kingspan Light & Air|07420563|322567|178534|1|10002521356|osgb1000027348367|7|5803524|1|28.8|Unit 7 Lamby Industrial Park|Wentloog Avenue|Trowbridge, Cardiff|South Glamorgan|CF3 2EX|Caerdydd - Cardiff|02920776160|||||118 Information|2024-12-01,,,
91432917|Group S C S|07420563|322865.6|178940.6|1|10013747496|osgb1000002706041273|3|5803905|1|61.6|Unit T2 Capital Point Capital Business Park|Parkway|Trowbridge, Cardiff|South Glamorgan|CF3 2PZ|Caerdydd - Cardiff|03003034104|||||118 Information|2024-12-01,,,
80835070|J C W|07420563|317459|181211|1|100100893886|osgb1000027189257|4|5802689|1|99|Unit 38 Cardiff Business Park|Lambourne Crescent|Llanishen, Cardiff|South Glamorgan|CF14 5GG|Caerdydd - Cardiff|02920520720|www.jcwes.com||||118 Information|2024-12-01,,,
168970702|M R Bishop|07420563|320420|180246|1|100100131714|osgb1000027294441|3|5803677|1|19.7|482|Coed-y-Gores|Pentwyn, Cardiff|South Glamorgan|CF23 9NU|Caerdydd - Cardiff|07534351530|||||118 Information|2024-12-01,,,
91417553|Welsh Power|07420565|318237|176600.1|1|200001485152|osgb1000027218488|2|5801139|1|30.6|2, Kingsway|Cathays|Cardiff|South Glamorgan|CF10 3FD|Caerdydd - Cardiff|02920547200|www.welshpower.com||||118 Information|2024-12-01,,,
170994482|Bluecube Marine Ltd|07420562|318630|176519|1|100100890247|osgb1000027217782|4|5800393|1|18.8|10|Churchill Way|Cathays, Cardiff|South Glamorgan|CF10 2DX|Caerdydd - Cardiff|08007723378|||||118 Information|2024-12-01,,,
85578091|R S C Spares|07420563|320314|175927|1|10002520913|osgb1000027284642|3|5801644|1|32.6|Unit 91 Portmanmoor Road Industrial Estate|Portmanmoor Road|Splott, Cardiff|South Glamorgan|CF24 5HB|Caerdydd - Cardiff|02920489555|||||118 Information|2024-12-01,,,
48821470|Bluebay Building Products Ltd|07420562|320285|175963|1|10002520909|osgb1000027284622|3|5801644|1|42.3|Unit 51 and 52 Portmanmoor Road Industrial Estate|Portmanmoor Road|Splott, Cardiff|South Glamorgan|CF24 5HB|Caerdydd - Cardiff|02920495555|www.bluebaybp.co.uk|Bluebay|||118 Information|2024-12-01,,,
64390159|Fiddes & Sons Ltd|07420558|316703|174070|1|200001861025|osgb1000027119255|7|5800193|1|30.8|Fiddes|Brindley Road|Leckwith, Cardiff|South Glamorgan|CF11 8TX|Caerdydd - Cardiff|02920340323|||||118 Information|2024-12-01,,,
169457167|Cemex Cardiff Concrete Plant Mortar Screed Sales|07420562|320106.2|174301|1|10023550815|osgb1000027284542|4|5803322|1|97.9|Empire Wharf|Cold Stores Road|Butetown, Cardiff|South Glamorgan|CF10 4LW|Caerdydd - Cardiff|03451479172|www.cemex.co.uk|Cemex|||118 Information|2024-12-01,,,
125879516|O N E R|02080115|318201|176385|1|100100889975|osgb1000027219260|4|5800391|3|9.5|3a|Church Street|Cardiff|South Glamorgan|CF10 1BG|Caerdydd - Cardiff|02920396989|||||118 Information|2024-12-01,,,,
125784785|Dave Harris|02080115|316885|182381|1|100100045727|osgb1000027141430|5|5800097|1|15.3|3|Bardsey Crescent|Llanishen, Cardiff|South Glamorgan|CF14 5JZ|Caerdydd - Cardiff|07968423169|||||118 Information|2024-12-01,,,
170995705|Clickbox|02080114|317731.6|175809.3|1||osgb1000027171093|7|5801565|3|19.4|Tramshed|Pendyris Street|Grangetown, Cardiff|South Glamorgan|CF11 6BH|Caerdydd - Cardiff|03300945051|||||118 Information|2024-12-01,,,
48980679|Ion Graphic|02080115|316639|181262|1|100100127387|osgb1000027139032|5|5801022|1|17.1|2|Heol-yr-Efail|Rhiwbina, Cardiff|South Glamorgan|CF14 4SR|Caerdydd - Cardiff|02920691789|||||118 Information|2024-12-01,,,
111221671|Charter Vehicle Hire|02600113|314981.8|178957|1|100100893097|osgb1000027037334|12|5803643|3|25.1|14 Station Road|Llandaff North|Cardiff|South Glamorgan|CF14 2FF|Caerdydd - Cardiff|02920553111|||||118 Information|2024-12-01,,,,
171990039|Day's Rental|02600113|317110.6|174666.6|1|10002528563|osgb1000002487409819|5|5800870|1|57.3|Days Rental|Hadfield Road|Leckwith, Cardiff|South Glamorgan|CF11 8AQ|Caerdydd - Cardiff|02920376800|www.days.co.uk|Days Motor Group|||118 Information|2024-12-01,,,
95720707|Departures|02080115|319104|174787|1|100100890568|osgb1000027250769|5|5800258|1|19.4|54a|Bute Street|Butetown, Cardiff|South Glamorgan|CF10 5AF|Caerdydd - Cardiff|02920228724|||||118 Information|2024-12-01,,,
